Journal Report 1 (R4)	Number of Successful Full-text Article Requests by Month and Journal																				
SIMON FRASER UNIV																					
																					
Period covered by Report:																					
2013-01-01 to 2013-12-31																					
Date run:																					
2014-02-24																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013
Archives of Sexual Behavior	Springer Science & Business Media B.V.	EBSCOhost		6981	0004-0002	1573-2800	3127	0	3127	253	280	700	233	92	182	109	40	236	445	477	80
Archives of Suicide Research	University of South Australia	EBSCOhost		6983	1381-1118	1543-6136	362	0	362	12	21	44	20	30	13	26	7	26	48	101	14
Archives of thermodynamics	Versita	EBSCOhost		123646	1231-0956	2083-6023	10	0	10	0	0	2	0	5	1	0	0	0	0	2	0
Archives of Toxicology. Archiv für Toxikologie	Springer Science & Business Media B.V.	EBSCOhost		6991	0340-5761	1432-0738	165	0	165	2	10	17	8	16	1	16	2	6	28	48	11
Archives of virology	Springer Science & Business Media B.V.	EBSCOhost		6994	0304-8608	1432-8798	39	0	39	4	3	10	1	1	2	2	2	0	1	13	0
Archives of Women's Mental Health	Springer Science & Business Media B.V.	EBSCOhost		6997	1434-1816	1435-1102	771	0	771	76	91	115	50	27	41	59	14	76	85	112	25
Archives: The International Journal of Medicine	Renaissance Medical Publishing	EBSCOhost		481542	1791-4000		17	0	17	0	1	3	0	0	1	6	1	2	0	2	1
Archivo español de arte	Instituto Europeo de Iniciativas Educativas	EBSCOhost		7076	0004-0428	1988-8511	9	7	2	0	0	4	0	1	0	0	0	1	1	1	1
Archivos de cardiología de México	Sociedad Mexicana de Cardiologia y del Instituto Nacional de Cardiologia Ignacio Chavez	EBSCOhost		84305	1405-9940		18	0	18	0	2	3	3	1	0	0	1	2	0	4	2
Archivos de neurociencias	"Instituto Nacional de Neurologia y Neurocirugia, Departamento de Publicaciones Cientificas"	EBSCOhost		101088	1028-5938		19	0	19	0	1	3	0	1	0	7	0	0	4	3	0
Archivos en Medicina Familiar	Asociacion Latinoamericana de Profesores en Medicina Familiar A.C.	EBSCOhost		125211	1405-9657		2	0	2	0	0	0	0	0	0	1	0	0	0	1	0
Archivos Hispanoamericanos de Sexología	Archivos Hispanoamericanos de Sexologia	EBSCOhost		182915	1405-1923		2	0	2	0	0	1	1	0	0	0	0	0	0	0	0
Archivum mathematicum	"Masaryk University, Faculty of Arts"	EBSCOhost		101441	0044-8753	1212-5059	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Archnet-IJAR: International Journal of Architectural Research	Journal of Architectural Planning & Research	EBSCOhost		399836	1994-6961	1938-7806	14	0	14	1	1	5	0	0	1	1	0	0	5	0	0
Arctic	Arctic Institute of North America	EBSCOhost		7179	0004-0843		880	0	880	122	74	131	69	22	25	20	10	73	111	200	23
"Arctic, Antarctic, and Alpine Research"	Allen Press Publishing Services Inc.	EBSCOhost		910912	1523-0430	1938-4246	5	0	5	0	0	0	1	0	0	0	0	0	2	2	0
"Arctic, Antarctic, and Alpine Research"	Allen Press Publishing Services Inc.	EBSCOhost		91549	1523-0430	1938-4246	2	0	2	0	0	0	1	0	0	0	1	0	0	0	0
Arctic anthropology	University of Wisconsin Press	EBSCOhost		7185	0066-6939	1933-8139	737	241	496	78	72	135	35	15	16	17	5	54	142	150	18
Area	Wiley-Blackwell	EBSCOhost		7200	0004-0894	1475-4762	409	0	409	35	29	51	30	12	17	26	10	35	63	87	14
Areté / Graduate School of Social Work (University of South Carolina)	Studies in Scottish Literature - Dr. G. Ross Roy	EBSCOhost		381052	0885-9787		4	0	4	0	0	0	1	0	0	0	0	0	2	1	0
AREUEA Journal : Journal of the American Real Estate and Urban Economics Association	Wiley-Blackwell	EBSCOhost		7211	0270-0484		9	0	9	1	2	0	0	1	0	1	0	0	1	1	2
Argentina Mining Report	Business Monitor International	EBSCOhost		519446	1755-7925		3	0	3	0	0	2	0	0	0	0	0	0	0	1	0
Argumentation	Akademiai Kiado	EBSCOhost		7234	0920-427X	1572-8374	59	0	59	3	2	16	2	0	1	6	5	5	5	13	1
Argumentation and Advocacy	American Forensic Association	EBSCOhost		7235	1051-1431		306	55	251	5	24	62	24	7	12	5	7	32	60	51	17
"Argumentum: Caietele Seminarului de Logica Discursiva, Teoria Argumentarii si Retorica"	"Argumentum Journal of the Seminar of Discursive Logic, Argumentation Theory & Rhetoric"	EBSCOhost		969848	1583-2767		17	0	17	0	1	4	2	1	1	0	0	2	1	5	0
Arhivi	Arhivsko Drustvo Slovenije	EBSCOhost		418338	0351-2835		1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Arid Soil Research and Rehabilitation	Wayne State University Press	EBSCOhost		7258	0890-3069	1521-0405	4	0	4	0	0	0	0	1	0	0	0	0	1	2	0
Aries - Journal for the Study of Western Esotericism	Brill Academic Publishers	EBSCOhost		7270	1567-9896	1570-0593	51	0	51	0	2	8	5	0	3	2	2	4	9	9	7
Aristotelian Society supplementary volume	Wiley-Blackwell	EBSCOhost		214010	0309-7013	1467-8349	26	0	26	0	5	2	3	3	0	0	1	0	4	1	7
"Arizona Capitol Times (Phoenix, AZ)"	CBS Interactive Inc.	EBSCOhost		214012	0744-7477		6	6	0	0	0	2	0	0	0	0	0	0	2	2	0
"Arizona Daily Star (Tucson, AZ)"	Tucson Citizen	EBSCOhost		7283	0888-546X		2	2	0	0	0	0	0	0	0	0	0	0	1	1	0
"Arizona Daily Sun (Flagstaff, AZ)"	Arizona Daily Sun	EBSCOhost		7285	1054-9536		2	2	0	0	0	0	0	0	0	0	0	0	0	2	0
Arizona law review	Arizona Law Review	EBSCOhost		7299	0004-153X		14	0	14	2	0	0	4	1	0	0	0	0	3	4	0
Arizona Nurse	Arizona State Nurses Association	EBSCOhost		90064	0004-1599		111	0	111	6	10	4	4	7	4	1	1	9	19	41	5
Arizona State law journal	Arizona State Law Journal	EBSCOhost		7308	0164-4297		15	0	15	3	0	2	0	0	0	4	0	0	0	6	0
"Ark & Odd Fellows' Monthly Magazine: A Monthly Periodical, Devoted to the Cause of Odd Fellowship"	American Antiquarian Society Historical Periodicals	EBSCOhost		770301			1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Arkansas Historical Quarterly	Arkansas Historical Association	EBSCOhost		7323	0004-1823		102	13	89	1	2	17	7	0	4	0	2	0	14	52	3
Arkansas Law Review	University of Arkansas	EBSCOhost		7325	0004-1831		18	0	18	1	1	5	2	0	1	1	0	0	2	5	0
Arkansas Libraries	Arkansas Library Association	EBSCOhost		7328	0004-184X		16	3	13	1	0	0	2	2	0	2	0	3	4	1	1
Arkansas Nursing News	Arkansas Nurses Association	EBSCOhost		101298	1539-8528		63	9	54	7	11	8	0	5	0	2	0	13	11	5	1
Arkansas Review: A Journal of Delta Studies	Arkansas Review	EBSCOhost		7330			150	53	97	6	12	32	25	0	4	17	5	5	16	23	5
ARKIVOC: online journal of organic chemistry	Arkat USA Inc.	EBSCOhost		99150	1551-7004	1551-7012	9	0	9	1	0	0	0	0	2	0	0	0	5	1	0
ARL: A Bimonthly Newsletter of Research Library Issues and Actions	Association of Research Libraries	EBSCOhost		7347	1050-6098	1931-1354	6	3	3	6	0	0	0	0	0	0	0	0	0	0	0
Armada International	Media Transasia Ltd.	EBSCOhost		7350	0252-9793		10	0	10	0	1	1	3	0	2	0	0	0	0	3	0
Armed Forces Comptroller	American Society of Military Comptrollers	EBSCOhost		7359	0004-2188		39	7	32	1	8	9	1	3	0	5	0	0	1	5	6
Armed Forces & Society	Springer Science & Business Media B.V.	EBSCOhost		7355	0095-327X	1556-0848	369	238	131	17	35	75	38	10	9	21	14	14	45	72	19
Armenian Review	Armenian Review	EBSCOhost		99630	0004-2366		21	0	21	1	0	2	0	0	0	0	0	0	9	8	1
Arms & Armour	Maney Publishing	EBSCOhost		158783	1741-6124	1749-6268	23	0	23	0	0	0	3	0	1	4	2	2	3	6	2
Army	Association of the United States Army	EBSCOhost		7375	0004-2455		33	0	33	0	2	1	7	0	4	0	1	3	12	2	1
The Army Communicator	Superintendent of Documents	EBSCOhost		7378	0362-5745		6	0	6	1	0	1	0	0	2	0	1	0	0	0	1
Army Lawyer	Superintendent of Documents	EBSCOhost		7379	0364-1287		34	2	32	2	4	4	1	0	1	5	1	2	8	1	5
Army logistician	Superintendent of Documents	EBSCOhost		7381	0004-2528		33	4	29	3	0	11	2	0	2	7	3	0	2	3	0
Army Reserve Magazine	Superintendent of Documents	EBSCOhost		641818	0004-2579	1554-9860	8	6	2	3	1	1	0	0	0	0	0	0	1	1	1
Army Sustainment	Superintendent of Documents	EBSCOhost		560387	2153-5973		29	0	29	2	1	4	2	1	1	1	0	3	4	8	2
Army and Navy Chronicle	American Antiquarian Society Historical Periodicals	EBSCOhost		144526			1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Aromatic News	Herbal Rose Report	EBSCOhost		88730			2	0	2	1	0	0	0	0	0	0	1	0	0	0	0
Around the Rim	Canadian Wheelchair Basketball Association	EBSCOhost		202946			13	0	13	1	0	10	1	0	0	0	0	1	0	0	0
ARPN Journal of Engineering and Applied Sciences	Elsevier Science	EBSCOhost		303246	1816-949X	1819-6608	5	0	5	0	0	0	0	0	0	0	0	1	0	4	0
"ARQ (Santiago) - arquitectura, diseño, urbanismo, Chile"	Ediciones ARQ	EBSCOhost		102188	0716-0852	0717-6996	11	7	4	0	0	2	0	0	0	0	0	1	2	3	3
Arquitecturas del Sur	Universidad del Bio-Bio	EBSCOhost		347819	0716-2677		8	0	8	0	0	0	2	0	0	0	0	0	0	6	0
Arrows For Change	Asian-Pacific Resource & Research Centre for Women	EBSCOhost		7441	1394-4444		16	0	16	1	2	1	1	0	0	0	0	3	4	4	0
Ars	Asian & African Studies	EBSCOhost		796458	0044-9008		23	9	14	0	0	2	6	0	0	1	0	0	1	13	0
Ars Disputandi: The Online Journal for Philosophy of Religion	"Igitur, UB Utrecht"	EBSCOhost		101558		1566-5399	3	0	3	0	0	0	0	0	0	0	0	1	0	1	1
Ars Orientalis	Freer Gallery of Art	EBSCOhost		7451	0571-1371		40	29	11	2	3	3	0	1	0	0	0	3	1	10	17
ARSC Journal	Association for Recorded Sound Collections	EBSCOhost		91941	2151-4402		45	14	31	0	4	0	2	1	0	3	0	21	8	4	2
ARSC Newsletter	Association for Recorded Sound Collections	EBSCOhost		385150	0196-9145		1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Art Alchemy / Kimiaye-Honar	Advanced Research Institute of the Arts	EBSCOhost		1644861	2251-8630		3	0	3	0	0	0	0	0	0	0	0	2	1	0	0
"Art, antiquity and law"	Institute of Art & Law	EBSCOhost		7468	1362-2331		4	0	4	0	0	0	1	0	0	0	0	0	0	2	1
Art Book	Wiley-Blackwell	EBSCOhost		7481	1368-6267	1467-8357	337	0	337	22	30	64	19	2	14	12	6	24	58	81	5
Art Bulletin	College Art Association	EBSCOhost		7482	0004-3079		3106	1688	1418	181	248	614	229	58	130	61	43	253	394	749	146
"Art Bulletin of NationalMuseum, Stockholm"	National Museum	EBSCOhost		7485	1401-2987		9	9	0	0	1	3	2	0	0	0	0	3	0	0	0
Art Business News	Redwood Media Group LLC	EBSCOhost		7488	0273-5652		37	24	13	3	2	1	3	2	6	4	5	0	1	10	0
"Art, Design & Communication in Higher Education"	Intellect Ltd.	EBSCOhost		88660	1474-273X	2040-0896	73	12	61	10	7	13	7	10	0	4	1	5	5	7	4
Art Documentation: Bulletin of the Art Libraries Society of North America	University of Chicago Press	EBSCOhost		7494		2161-9417	137	40	97	9	8	26	11	4	9	9	3	10	24	24	0
Art education	National Art Education Association	EBSCOhost		7495	0004-3125		2003	875	1128	206	195	234	136	73	143	164	91	142	260	290	69
Art history	Wiley-Blackwell	EBSCOhost		7500	0141-6790	1467-8365	1798	208	1590	232	166	315	139	34	73	54	23	73	187	373	129
Art History & Theory / Makslas Vesture un Teorija	Institute of Art History of the Latvian Academy of Art	EBSCOhost		1755607	1691-0869		1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Art in America	"Antiques, LLC"	EBSCOhost		7501	0004-3214		1103	0	1103	53	135	226	88	14	62	58	17	81	132	214	23
Art in Print	Art in Print	EBSCOhost		903146		2164-2702	4	0	4	0	0	0	0	1	0	0	0	0	1	2	0
Art Issues	Foundation for Advanced Critical Studies	EBSCOhost		7504	1046-8471		11	9	2	1	1	2	1	0	2	0	0	0	2	2	0
Art Journal	College Art Association	EBSCOhost		7505	0004-3249		1756	746	1010	86	147	293	121	26	71	74	55	133	224	447	79
Art Libraries Journal	ARLIS-UK & Ireland	EBSCOhost		7506	0307-4722		153	51	102	7	17	9	4	1	3	0	2	55	17	30	8
art ltd. Magazine	Art ltd	EBSCOhost		782691	1941-8558		4	0	4	0	0	0	0	0	0	0	0	4	0	0	0
Art Monthly	Art Monthly	EBSCOhost		7508	0142-6702		827	347	480	21	96	174	52	20	51	60	26	54	82	155	36
Art Monthly Australia	Art Monthly Australia Pty. Ltd.	EBSCOhost		668199	1033-4025		30	0	30	0	1	3	0	0	1	1	0	5	1	9	9
Art New England	Art New England	EBSCOhost		7509	0274-7073		141	94	47	2	13	24	8	2	2	8	1	23	21	34	3
Art Newspaper International	Art Newspaper	EBSCOhost		641819	0960-6556		277	195	82	8	19	65	24	2	14	8	6	26	48	52	5
Art Nexus	Arte en Colombia Ltda.	EBSCOhost		92647	0122-1744		110	66	44	3	1	32	3	0	0	26	1	0	8	21	15
Art of Healing	Art of Healing	EBSCOhost		443612	1449-1680		2	0	2	0	0	2	0	0	0	0	0	0	0	0	0
Art Papers	Art Papers	EBSCOhost		7516	0278-1441		320	139	181	13	41	38	14	12	14	23	28	27	39	59	12
Art Papers Magazine	Art Papers	EBSCOhost		577705	1524-9581		23	1	22	2	1	2	1	2	0	0	1	0	6	8	0
Art Press	Art-Press (International)	EBSCOhost		7517	0245-5676		339	159	180	9	35	82	14	35	34	7	6	14	45	50	8
"Art Review (London, England)"	"Art Review, Ltd."	EBSCOhost		125886	1745-9303		334	160	174	18	40	77	14	5	10	14	5	14	52	75	10
Art South Africa	Art South Africa Magazine cc	EBSCOhost		1756436	1684-6133		1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Art Therapy: Journal of the American Art Therapy Association	Wayne State University Press	EBSCOhost		452880	0742-1656	2159-9394	39	0	39	0	1	4	4	0	0	1	0	4	17	5	3
Art Times	"CSS Publications, Inc."	EBSCOhost		569957	0891-9070		5	0	5	0	0	0	0	0	0	0	0	1	2	1	1
Art & Antiques	"Newsquest Specialist Media, Ltd"	EBSCOhost		7469	0195-8208		226	226	0	24	25	48	18	5	12	2	6	7	49	28	2
Art and AsiaPacific	National Art Collections Fund	EBSCOhost		190462	1039-3625		172	0	172	0	14	23	11	2	6	1	3	8	23	76	5
Art & Auction	LTB Media	EBSCOhost		7473	0197-1093		12	0	12	0	1	2	0	0	0	0	2	1	1	5	0
Art and Christianity	Art & Christianity Enquiry	EBSCOhost		273209	1746-6229		44	15	29	1	6	1	1	0	6	5	0	3	3	16	2
"Art and research: a journal of ideas, contexts and methods"	Art & Research	EBSCOhost		489009	1752-6388		4	0	4	0	1	0	0	0	0	0	0	0	3	0	0
Art & Text	Foundation for International Art Criticism	EBSCOhost		103970	0727-1182		40	19	21	0	2	10	1	2	2	4	1	0	14	4	0
Art & Text	Foundation for International Art Criticism	EBSCOhost		7477	0727-1182		7	0	7	0	2	2	0	1	0	0	0	0	0	1	1
Art & the Public Sphere	Intellect Ltd.	EBSCOhost		914120	2042-793X	2042-7948	25	0	25	0	1	1	0	0	0	1	0	1	10	11	0
Arte y Parte	"Arte y Parte, S.L."	EBSCOhost		201926	1136-2006		48	17	31	0	4	7	0	4	7	5	1	7	2	11	0
Artefact	Copyright Agency Limited	EBSCOhost		154117	0044-9075		1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Artext	Foundation for International Art Criticism	EBSCOhost		268474	1544-2136		47	21	26	1	13	3	0	4	0	4	3	2	6	11	0
Arthritis	Springer Science & Business Media B.V.	EBSCOhost		730250	2090-1984	2090-1992	4	0	4	0	0	0	0	0	0	0	0	3	1	0	0
Arthroscopy & Joint Surgery		EBSCOhost		932222	1895-281X		2	0	2	0	0	1	0	1	0	0	0	0	0	0	0
Arthur Frommer's Budget Travel (Newsweek LLC)	Newsweek LLC	EBSCOhost		103980	1521-5210		18	18	0	1	0	4	5	0	0	0	0	5	2	1	0
Arthuriana	Global Media Journal: Indian Edition	EBSCOhost		191420	1078-6279	1934-1539	32	6	26	0	4	0	1	0	3	11	1	2	1	8	1
Artichoke	Artichoke Publishing	EBSCOhost		158907	0847-3277		6	4	2	0	0	0	0	4	0	0	0	0	2	0	0
Artifact	University of South Australia	EBSCOhost		213975	1749-3463	1749-3471	3	0	3	1	0	1	0	0	0	0	0	0	1	0	0
"Artificial Cells, Blood Substitutes, and Biotechnology"	International Pharmaceutical Federation	EBSCOhost		7574	1073-1199	1532-4184	60	0	60	4	3	2	1	1	0	1	0	0	34	13	1
"Artificial Cells, Blood Substitutes, & Immobilization Biotechnology"	International Pharmaceutical Federation	EBSCOhost		591460	1073-1199		3	0	3	0	3	0	0	0	0	0	0	0	0	0	0
Artificial Intelligence Review	Springer Science & Business Media B.V.	EBSCOhost		7584	0269-2821	1573-7462	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0
Artificial life	MIT Press	EBSCOhost		7585	1064-5462	1530-9185	42	4	38	4	4	7	8	2	1	1	0	3	1	9	2
Artificial Organs	Wiley-Blackwell	EBSCOhost		7587	0160-564X	1525-1594	149	0	149	8	11	10	8	1	7	6	4	12	28	53	1
Artonview	National Gallery of Australia	EBSCOhost		224314	1323-4552		99	47	52	2	12	14	0	3	0	7	0	7	14	36	4
Arts d'Afrique Noire	Arts d'Afrique Noire	EBSCOhost		7603	0337-1603		7	5	2	0	2	3	0	0	0	0	0	1	1	0	0
Arts Education Policy Review	Heldref Publications	EBSCOhost		7605	1063-2913	1940-4395	654	245	409	29	47	68	112	12	30	70	12	45	92	110	27
"Arts Journal: Critical Perspectives on Contemporary Literature, Art & Culture of Guyana & the Caribbean"	Arawak Publications	EBSCOhost		380919	1728-7723		11	0	11	0	0	0	0	0	0	0	0	0	0	7	4
ARTS: The Arts in Religious and Theological Studies	United Theological Seminary / New Brighton	EBSCOhost		89436	1093-1643		4	0	4	0	0	0	0	1	1	0	0	1	0	1	0
Arts & Activities	Publishers Development Corporation	EBSCOhost		7594	0004-3931		1155	660	495	85	133	170	106	51	42	42	24	43	228	203	28
Arts & Design Studies	"International Institute for Science, Technology & Education"	EBSCOhost		1755609	2224-6061	2225-059X	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0
Arts and Social Sciences Journal	AstonJournals (HATASO Enterprises LLC)	EBSCOhost		608946		2151-6200	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Arts and the Islamic World	New Century Publishers for the Islamic Arts Foundation	EBSCOhost		7601	0264-1828		4	4	0	0	1	1	0	0	0	0	0	0	1	1	0
ArtUS	Foundation for International Art Criticism	EBSCOhost		159024	1546-7082		195	79	116	12	33	47	11	4	7	6	4	7	30	30	4
Artweek	"Spaulding Publishing, Inc."	EBSCOhost		7620	0004-4121		69	45	24	1	4	25	2	2	0	0	5	10	4	15	1
ARYA Atherosclerosis Journal	"Isfahan University of Medical Sciences, Cardiovascular Research Center"	EBSCOhost		455067	1735-3955	2251-6638	8	0	8	0	1	3	0	0	0	0	0	2	0	1	1
Arzneimittelforschung = Drug Research	Georg Thieme Verlag Stuttgart	EBSCOhost		100502	0004-4172	1616-7066	93	0	93	7	10	10	10	4	10	5	5	12	7	11	2
ASBN Update	"Publishing Concepts, Inc"	EBSCOhost		101299			150	3	147	18	18	5	6	4	3	4	3	29	28	30	2
ASCA Newsletter	American Swimming Coaches Association	EBSCOhost		202917	0747-6000		48	0	48	6	1	3	6	2	0	6	1	3	9	9	2
ASCE Global Link	American Society of Civil Engineers	EBSCOhost		429367			2	2	0	1	0	0	1	0	0	0	0	0	0	0	0
Ascent (10796983)	Precast-Prestressed Concrete Institute	EBSCOhost		471615	1079-6983		3	0	3	0	0	0	0	0	0	0	0	0	3	0	0
Ascent Magazine	Timeless Books	EBSCOhost		188036	0315-8179		9	0	9	0	0	0	2	1	1	0	0	0	1	3	1
Aschkenas - Zeitschrift für Geschichte und Kultur der Juden	De Gruyter	EBSCOhost		390066	1016-4987	1865-9438	8	0	8	0	8	0	0	0	0	0	0	0	0	0	0
ASCI Journal of Management	Administrative Staff College	EBSCOhost		7658	0257-8069		75	0	75	4	11	12	0	2	5	2	0	0	5	34	0
ASEAN Economic Bulletin	Institute of Southeast Asian Studies	EBSCOhost		7666	0217-4472	1793-2831	67	5	62	1	8	6	13	17	4	2	1	2	8	4	1
ASEAN Journal of Teaching & Learning in Higher Education	Akademika	EBSCOhost		559878		1985-5826	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ASEBL Journal	ASEBL Journal	EBSCOhost		1582068		1944-401X	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0
ASEE Prism	ASEE	EBSCOhost		7669	1056-8077		179	69	110	12	9	18	16	2	14	21	3	13	18	42	11
ASHA	American Speech-Language-Hearing Association	EBSCOhost		4180	0001-2475		18	18	0	1	4	2	0	1	1	2	0	3	0	4	0
ASHA Leader	American Speech-Language-Hearing Association	EBSCOhost		7679	1085-9586		569	10	559	48	42	98	36	25	38	53	14	45	75	65	30
ASHE Higher Education Report	Springer eBooks	EBSCOhost		172249	1551-6970	1554-6306	186	12	174	10	8	19	6	9	18	21	4	15	33	25	18
ASHE-ERIC Higher Education Report	Springer eBooks	EBSCOhost		7686	0884-0040	1536-0709	20	5	15	3	0	3	1	0	1	0	0	4	6	1	1
ASHRAE Journal	ASHRAE	EBSCOhost		7691	0001-2491	1943-6637	842	36	806	51	60	72	33	19	27	21	22	27	80	357	73
ASHRAE Transactions	ASHRAE	EBSCOhost		7693	0001-2505		384	0	384	42	25	36	54	35	44	21	13	12	25	63	14
Asia Design Journal	Korean Design Research Institute (KDRI)	EBSCOhost		850596	1738-3838		3	0	3	0	0	3	0	0	0	0	0	0	0	0	0
Asia Europe Journal	Springer Science & Business Media B.V.	EBSCOhost		124949	1610-2932	1612-1031	22	0	22	2	5	4	0	0	0	0	0	0	3	7	1
Asia Journal of Theology	Board of Theological Education Senate of Serampore College	EBSCOhost		7703	0218-0812		200	0	200	10	20	44	29	7	14	14	2	8	15	32	5
Asia Law	Euromoney Institutional Investor PLC	EBSCOhost		201806	1022-0267		11	11	0	1	0	8	0	0	0	0	0	0	0	2	0
Asia News Network		EBSCOhost		727117			19	19	0	4	4	0	0	0	0	0	0	0	0	11	0
Asia Pacific Biotech News	Hindawi Publishing Corporation	EBSCOhost		84132	0219-0303	1793-6721	66	0	66	7	11	8	5	2	3	4	5	4	5	11	1
Asia Pacific Business Review	Wayne State University Press	EBSCOhost		7709	1360-2381	1743-792X	269	0	269	17	39	79	35	6	11	17	8	11	8	36	2
Asia Pacific Family Medicine	Ministerie van Volksgezondheid en Leefmilieu	EBSCOhost		456727	1444-1683	1447-056X	7	0	7	0	2	0	0	0	1	0	0	1	1	2	0
Asia Pacific Journal of Clinical Nutrition	Asia Pacific Journal of Clinical Nutrition	EBSCOhost		7720	0964-7058	1440-6047	771	0	771	57	104	101	72	47	53	61	18	49	64	124	21
Asia Pacific Journal of Finance and Banking Research	Global Business Investment & Publications	EBSCOhost		462567	1933-3390	1933-3455	4	0	4	1	0	0	0	0	1	0	0	0	2	0	0
Asia Pacific Journal of Health Management	Asia Pacific Journal of Health Management	EBSCOhost		780783	1833-3818		13	0	13	0	1	0	1	0	3	5	0	1	1	0	1
Asia Pacific Journal of Management	Springer Science & Business Media B.V.	EBSCOhost		7724	0217-4561	1572-9958	161	0	161	17	15	21	7	8	5	9	5	17	15	33	9
Asia Pacific Journal of Research in Business Management	Sri Krishna International Research & Educational Consortium	EBSCOhost		1036389	2229-4104		9	0	9	1	0	0	3	0	1	4	0	0	0	0	0
Asia Pacific Journal of Social Work & Development	University of South Australia	EBSCOhost		432633	0218-5385	2165-0993	13	0	13	4	0	3	1	0	0	2	0	2	0	1	0
Asia Pacific Journal of Tourism Research	University of South Australia	EBSCOhost		150024	1094-1665	1741-6507	180	0	180	38	37	24	25	0	0	0	0	12	7	31	6
Asia Pacific Management Review	????????	EBSCOhost		355766	1029-3132		20	0	20	1	0	0	1	0	0	1	0	6	6	5	0
Asia Pacific viewpoint	Wiley-Blackwell	EBSCOhost		7739	1360-7456	1467-8373	289	0	289	16	38	50	27	6	14	12	38	5	32	43	8
Asiamoney	Euromoney Institutional Investor PLC	EBSCOhost		7707	0958-9309	1607-0526	70	70	0	0	6	8	8	5	8	7	5	2	6	14	1
Asian Academy of Management Journal	Universiti Sains Malaysia	EBSCOhost		525219	1394-2603	2180-4184	23	0	23	0	8	0	0	0	1	6	0	5	1	1	1
Asian Academy of Management Journal of Accounting & Finance	Universiti Sains Malaysia	EBSCOhost		525220	1823-4992	2180-4192	17	0	17	0	0	0	0	0	2	2	5	0	2	6	0
Asian affairs	University of South Australia	EBSCOhost		7773	0306-8374	1477-1500	126	100	26	5	0	24	11	0	11	16	2	9	22	13	13
Asian Affairs: An American Review	Wayne State University Press	EBSCOhost		7775	0092-7678	1940-1590	289	87	202	10	26	46	24	9	10	12	5	10	39	68	30
Asian Agri-History	Library of Tibetan Works & Archives	EBSCOhost		927131	0971-7730		1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Asian American Journal of Psychology	Johns Hopkins University Press	EBSCOhost		523438	1948-1985	1948-1993	959	543	416	49	52	100	95	46	29	66	16	58	132	272	44
Asian American Policy Review	President & Fellows of Harvard College	EBSCOhost		198325	1062-1830		30	0	30	0	0	10	9	0	1	3	0	0	0	4	3
Asian Anthropology	University of South Australia	EBSCOhost		1032819	1683-478X	2168-4227	62	0	62	2	10	10	8	2	1	4	0	2	7	15	1
Asian Aviation Magazine	Asian Press Group	EBSCOhost		678780	0129-9972		44	0	44	1	3	2	2	1	6	2	0	8	6	13	0
Asian Business Review	Alan Davis Media	EBSCOhost		7792			17	17	0	0	1	0	0	3	1	0	0	0	2	2	8
Asian Case Research Journal	Hindawi Publishing Corporation	EBSCOhost		7793	0218-9275	1793-6772	30	0	30	6	6	3	0	0	1	1	1	0	3	9	0
Asian Chemical News: ACN	BNP Media	EBSCOhost		87828	1356-5389		11	11	0	0	0	1	1	2	0	7	0	0	0	0	0
Asian Cinema	Intellect Ltd.	EBSCOhost		457788	1059-440X	2049-6710	3	0	3	0	0	2	0	0	0	0	0	0	0	1	0
Asian Culture and History	Canadian Center of Science & Education	EBSCOhost		498281	1916-9655	1916-9663	23	0	23	0	0	0	0	0	0	0	0	0	3	19	1
Asian economic journal	Wiley-Blackwell	EBSCOhost		7805	1351-3958	1467-8381	24	0	24	1	1	0	3	4	1	3	1	3	0	6	1
Asian economic papers	MIT Press	EBSCOhost		71326	1535-3516	1536-0083	86	0	86	9	2	14	12	3	4	5	0	2	10	23	2
Asian Economic Policy Review	Wiley-Blackwell	EBSCOhost		213945	1832-8105	1748-3131	35	0	35	0	2	7	2	2	2	0	4	0	8	7	1
Asian Economies	Japan Society of Developmental Psychology	EBSCOhost		460719	0002-2942		5	0	5	1	0	3	0	0	0	0	0	0	1	0	0
Asian EFL Journal	Asian EFL Journal	EBSCOhost		275410	1738-1460		41	0	41	10	3	7	3	1	2	1	3	1	2	8	0
Asian Englishes	University of South Australia	EBSCOhost		1383019	1348-8678	2331-2548	6	0	6	2	0	0	0	0	0	0	0	0	4	0	0
